1	 4181 6013 2116 6094 820 7277 2234 12534 4077 10533 10650 12665 8335 9359 9757 8592 4717 1301 1397 8295 13426 5082 12601 10886 7218 6959 8295 2419 12160 4077 4408 13426 13871 9746
2	 4965 6966 13279 13711 11276 6188 7725 8295 2664 10926 3860 4080 7758 493 158 6966 7700 6966 2775 2116 200 11664 5295 4137 3229 13265 463 3229 2223 2231 12426 6966 6946 1867 4162 13623 5475 482 7026 11668 1592 12930 1874 11020 159 12398 6174 6966 8421 2223 195 6959 12396 12429 8302 12528 2352 2289 2223 2037 11014 12240 12757 11430 8421 8421 3720 8296 10105 12396 10931 2420 4993 978 11718 12240 11097 12529 9304 13279 12315 6934 4598 4667 10937 7033 9382 1151 3735 9157 13959 12940 11124 11862 8331 7241 2954 5966 13740 8296 13081 12627 8865 4162 4384
3	 9735 13744 8421 6966 6175 4636 5078 10793 8295 1001 5805 11677 1793 1151 7906 8976 4717 5066 8295 8335 12757 9746 10687 5305 2289 12464 10551 4824 10898 11612 8893 9498 8893 11014 10235 5301 11276 3159 837 5301 4162 2234 3182 4802 12240 5208 9023 10645 10536 10614 8335 6229
4	 8295 508 278 6966 8421 9750 7906 6947 1570 11490 4658 8426 12615 3433 6392 9750 8331 10551 7906 11397 8728 5077 4256 5074 2566 10237 4826 872 2732 158 13990 11913 5077 3347 10554 6376 8445 9725 4826 7906 9276 321 8331 4874 9097 12664 8102 12629 13617 9734 4826 13474 10926 5077 189 9743 9097 3113 7690 321 631 632 5965 8331 9746 9557 4826 7906 1291 8728 4835 1990 1286 6174 4019 8728
5	 5161 3050 6635 6275 8295 4509 2477 9734 2412 2289 6079 5512 12657 1934 5112 5512 11403 1058 13476 496 12704 9301 2072 201 4849 13282 9312 11897 9455 4391 9825 10102 2244 11279 2291 7673 1092 1001 2072 5405 10641 11038 9734 7102 13282 1969 12075 13282 13322 7026 10641 12148 5918 13617 3725 1936 12525 12906 8879 13279 13603 1473 13617 8094 2200 8195 13446 4971 376 2477 5070 8784 1627 8807 13744 10167 10654 9304 11380 9735 10217 4717 1473 6271 9991 9642 3762 11557 4328 1936 12757 370 4971 11308 731 9212 9775 128 8296 6487 12217 9771 10650 13617 7281 12704 4122 5294
6	 3302 6536 6113 8302 6175 1882 13804 8893 13426 7218 7079 3332 8532 4472 5583 6966 8610 13411 7218 2848 8850 12013 9308 8298 3158 7447 13744 1067 2253 12777 8302 2359 2471 1676 6319 3379 2665 8614 10105 8195 2361 1586 1391 6175 7253 3126 11276
7	 12891 5652 5921 2475 11013 13072 4058 11012 7906 9781 1733 7101 6473 11442 12895 7912 10525 3854 13267 5964 14027 13357 6037 11722 10128 6936 3889 13108 13585 3624 1734 7912 5170 5611 9437 8815 12060 11490 736 7445 8296 8821 1933 514 5652 11514 8821 9480 7438 3658 8302 2683 2683 10695 2475 8507 5047 3503 9500 1434 8821 12777 5522 9621 2915 10540 7912 3427 11599 10364 4472 11926 9599 12060 6451 2202 4708 11236 9266 10653 5677 8844 12481 7193 13200 652 7660 7207 8821 3379 12222 7445 9831
8	 10102 6136 12074 8893 7906 11276 9786 6967 9553 6966 8991 10614 1151 6966 6966 13740 1874 13744 1676 13282 13279 2445 12232 4528 2850 3172 1933 4636 12144 8296 9738 13282 10131 379 10432 6966 3377 820 2076 9094 9656 6174 11464 3172 5521 12301 1586 3431 3954 2942 6966 6409 8893 4261 9166 6174 2850 95 2848 11613 8296 2005 1688 13282 6966
9	 6103 12397 7630 7349 10846 1797 6174 9543 7621 8335 11314 8331 2548 9712 11779 8302 9674 10108 9825 6476 2841 6113 9671 10775 1151 634 150 12923 409 5751 11605 1812 156 10200 7241 8197 4282 8578 4966 9750 3975 3851 2850 6103 5941 3851 4758 11806 2471 10364 1276 2460 9750 11807 5221 6409 5421 2840 5967 11806 11370 3186 2548 11947 10845 12074 2841 4922 8497 1007 9481 7111 11314 11132 6750 10502 8497 1284 11314 13709 3092 13459 9976 10489 9964 5941 10650 2840
10	 7033 3254 12707 4428 8335 10326 4428 8107 1694 4971 10262 3210 641 2848 4475 5918 150 11807 5918 4556 8959 8581 11807 12566 121 3173 11739 11806 1092 1584 4195 2942 1675 1764 10127 7632 9732 4555 5746 4328 9492 2915 9427 4222 820 6216 3212 4717 11314 2168 1977 3210 8077 13455 1675 8928 3702 649 1977 2913 6609 1984 2655 3131 13235 8586
