1	 622 10650 8744 5656 7193 7912 9725 13455 11892 622 13476 4965 6966 7096 8335 1397 8302 3272 3649 1397 4077 8331 7006 6966 13757 6966 6317 1397 7277 10984 7096 4971 4686 13265
2	 12433 8421 827 5583 4344 2411 8421 13459 8532 7768 2417 1718 12426 11718 8421 11760 7615 9738 3138 493 8302 5457 9736 8893 2840 8331 10930 5000 228 12396 2556 13819 482 12704 11060 1366 11897 8893 1812 2649 12396 10926 5178 13287 9094 1718 6175 13740 7503 12396 7389 9746 8991 11276 8894 2133 9748 12940 7512 8302 10654 10596 11885 10331 3729 13282 11984 11125 1168 4641 11984 2202 8893 3173 3613 13744 10404 8421 5170 2352 1936 11387 4176 12396 335 482 10530 11427 13445 8222 8754 1092 8302 5587 5903 3278 10566 9959 13279 5833 10566 8295 6987 12534 3002
3	 8295 6934 4569 9520 12160 6113 408 4569 8421 2474 13474 1027 5305 13819 12657 3237 2411 10842 2343 2474 10654 2417 4162 8991 9094 121 5301 7026 6661 5301 12497 9094 948 3227 8295 2019 5301 1675 10552 12953 7253 3182 8560 5421 8497 7543 4568 10654 5301 10153 1778 8421
4	 4024 5077 822 12945 396 3735 12565 7906 7109 3342 4162 10931 184 7906 9094 11730 9094 11902 6175 12565 12556 9500 8426 9005 13990 12565 12031 12619 1063 6216 4971 10928 8578 6966 11730 8445 2411 4974 2223 9732 3969 40 12619 4922 7543 13282 10423 8296 3433 8976 1276 1574 158 8291 3720 8246 817 6319 5846 2566 3078 4987 7007 9715 5079 9732 9894 817 4826 12429 5361 4658 2330 4024 8335
5	 8784 2522 6291 11557 817 9315 200 6083 1934 13744 7033 12704 6174 5066 4987 13603 7570 1936 12761 3225 3010 8295 3091 8532 12912 12464 5032 822 2289 10108 1934 8617 4415 6276 2297 10431 4971 8296 4258 5765 4247 13781 13196 2234 13617 6344 12497 8532 7523 3762 11897 8277 9551 2475 4965 3033 3851 5749 11308 3874 7000 4668 8872 12056 12389 10654 684 11751 12757 12704 200 5918 10496 1936 11178 3050 1642 631 7611 8006 1811 12777 9572 632 457 2478 11308 2072 2244 10517 7906 6935 11796 2293 9732 6510 4512 3433 6103 5512 1050 7557 8302 9437 8428 6276 7905 7090
6	 6216 9167 6934 7447 8535 8893 13426 10533 12465 3113 9005 9432 9750 2647 2241 9841 11702 8518 8893 13029 8296 4499 6313 12493 7615 1391 2571 8532 9166 12687 13744 6174 11276 12429 3250 12757 13787 6966 4922 2330 9589 6174 7631 9300 6313 9644
7	 10111 9390 6361 12481 11171 8822 9873 9437 5501 4317 637 7642 4629 10695 10533 1742 9208 9831 10989 13143 5521 1734 8302 3854 8821 11383 1735 8821 11514 13579 7111 13426 8821 13124 1742 10128 3854 6295 8821 10928 7193 7619 3984 7912 9207 8743 2141 9843 13279 7377 10364 9735 6099 8588 8991 11514 10654 1698 12779 4555 7912 8844 2495 3854 9683 1742 12426 978 1742 4629 632 11599 1742 11488 11049 12465 5652 3182 8821 12856 6313 8822 3658 3237 5627 3905 9926 7565 8821 2091 7069 10321
8	 4965 13282 7193 12089 9617 158 7906 6174 6873 2522 11664 13279 11266 11020 4965 12067 5654 5085 12027 2830 7033 6174 978 6136 13426 6136 2442 13509 1874 1959 4527 2850 13740 3078 10926 7437 376 1933 8615 13282 8744 4872 13349 8302 2571 7912 1959 10992 12777 5932 10536 12761 13282 12761 4162 2413 12987 7828 13282 5512 4636 9094 7336 2248
9	 9860 4965 13503 11386 11806 4239 11020 6128 7936 3150 1007 6342 8893 7307 1151 7371 150 3791 13459 657 12757 2108 7631 11679 10426 11314 3057 13715 12700 11557 6127 3150 12757 8588 5082 7937 7631 13781 7034 6409 9480 5380 11132 8331 7906 2841 9397 11714 6103 3413 5551 10502 7858 10327 7663 1770 10654 1007 5966 5967 4569 9562 11679 10174 11266 3612 11460 6902 1539 8532 5082 3149 3978 8241 1330 8784 8702 7309 3502 7906 2841 8331 5918 5941 7101 11806 2915 632
10	 8331 9114 8497 5760 11807 11036 4974 323 62 8296 11871 8912 9673 5789 3851 9725 11807 6892 11477 12443 3118 10128 9114 11430 11316 7721 11387 4698 1977 9504 4563 622 9094 1984 2758 1764 8690 10445 12704 1764 2848 1977 5380 376 8914 8532 10102 6352 11807 9725 8912 11707 1970 10451 1675 11806 6233 11511 376 8617 5918 8282 13623 11664 4555
